situacao,categoria,artigo_cdc,prazo_reclamacao,direito_principal,como_agir_consumidor,como_loja_pode_agir,orgao_reclamacao
"Produto com defeito comprado em loja física","Garantia Legal","Art. 18/26","90 dias (duráveis) / 30 dias (não duráveis)","Troca, conserto ou devolução do dinheiro","Vá à loja com nota fiscal e acione a garantia legal verbalmente e por escrito","Pode oferecer conserto em até 30 dias antes de trocar","Procon / Reclame Aqui"
"Produto com defeito comprado online","Garantia Legal + Arrependimento","Art. 18/26/49","7 dias arrependimento + 90 dias garantia","Troca ou devolução integral incluindo frete","Envie e-mail solicitando devolução dentro do prazo","Deve arcar com custo de retorno do produto","Procon / Consumidor.gov.br"
"Produto não entregue no prazo","Entrega","Art. 35","Imediato após descumprimento","Cancelamento e devolução ou novo prazo","Contate por escrito exigindo entrega ou cancelamento","Pode propor novo prazo com compensação","Procon / Reclame Aqui"
"Cobrado valor errado no cartão","Cobrança Indevida","Art. 42","Imediato","Devolução em dobro do valor cobrado a mais","Guarde comprovante e exija devolução em dobro","Pode alegar boa-fé e devolver valor simples","Procon / Banco Central"
"Propaganda com preço diferente do cobrado","Propaganda Enganosa","Art. 30/37","Imediato","Comprar pelo preço anunciado","Fotografe o anúncio e exija o preço anunciado","Deve honrar o preço anunciado ou cancelar sem custo","Procon / Reclame Aqui"
"Produto vencido vendido em supermercado","Produto Impróprio","Art. 18/64","Imediato","Substituição ou devolução + denúncia","Guarde o produto e exija troca ou reembolso","Deve trocar imediatamente e verificar estoque","Procon / Vigilância Sanitária"
"Comprei online e não gostei do produto","Direito de Arrependimento","Art. 49","7 dias após recebimento","Devolução integral sem justificativa","Solicite por escrito dentro de 7 dias","Deve reembolsar incluindo frete pago","Procon / Consumidor.gov.br"
"Serviço de oficina mal feito","Serviço Defeituoso","Art. 20","90 dias após perceber o defeito","Reexecução gratuita ou devolução","Documente com fotos e exija reexecução","Pode propor refazer o serviço com prazo","Procon / Reclame Aqui"
"Discriminação ou recusa de atendimento","Discriminação","Art. 39","Imediato","Atendimento igualitário + indenização por dano moral","Registre o ocorrido e denuncie","Deve apresentar justificativa legal para recusa","Procon / MP se discriminação racial"
"Troca de roupa sem defeito em loja física","Sem cobertura CDC","Não há artigo","Não se aplica","Nenhum direito legal — é cortesia da loja","Verifique política de troca da loja com educação","Pode recusar a troca legalmente","Negociação direta com a loja"
"Cancelamento de serviço de assinatura","Cancelamento","Art. 39","Imediato após solicitação","Cancelamento imediato sem multa abusiva","Solicite por escrito e guarde protocolo","Deve cancelar sem criar obstáculos","Procon / Anatel (telecom) / ANS (saúde)"
"Produto chegou diferente da foto","Propaganda Enganosa","Art. 30/49","7 dias (online) + 30/90 dias defeito","Devolução por arrependimento ou defeito","Documente com fotos e solicite devolução","Deve aceitar devolução e reembolsar","Procon / Reclame Aqui"
